iter	Passed	Remaining
673	2961	1432
674	2965	1427
675	2969	1423
676	2972	1418
677	2977	1413
678	2980	1409
679	2984	1404
680	2989	1400
681	2993	1395
682	2997	1390
683	3001	1386
684	3005	1382
685	3010	1377
686	3014	1373
687	3017	1368
688	3022	1364
689	3026	1359
690	3030	1355
691	3033	1350
692	3038	1346
693	3043	1341
694	3047	1337
695	3052	1333
696	3057	1329
697	3061	1324
698	3065	1319
699	3069	1315
700	3074	1311
701	3078	1306
702	3083	1302
703	3088	1298
704	3092	1293
705	3095	1289
706	3099	1284
707	3105	1280
708	3108	1276
709	3112	1271
710	3117	1267
711	3122	1262
712	3125	1258
713	3129	1253
714	3134	1249
715	3138	1245
716	3142	1240
717	3146	1235
718	3150	1231
719	3154	1226
720	3159	1222
721	3163	1217
722	3167	1213
723	3170	1208
724	3174	1204
725	3178	1199
726	3182	1194
727	3185	1190
728	3189	1185
729	3193	1180
730	3196	1176
731	3200	1171
732	3204	1167
733	3207	1162
734	3211	1157
735	3214	1153
736	3218	1148
737	3222	1143
738	3226	1139
739	3230	1135
740	3234	1130
741	3237	1125
742	3242	1121
743	3245	1116
744	3249	1112
745	3252	1107
746	3256	1103
747	3260	1098
748	3263	1093
749	3267	1089
750	3271	1084
751	3275	1080
752	3278	1075
753	3282	1070
754	3286	1066
755	3289	1061
756	3293	1057
757	3297	1052
758	3302	1048
759	3307	1044
760	3311	1039
761	3315	1035
762	3319	1031
763	3324	1026
764	3327	1022
765	3331	1017
766	3334	1013
767	3339	1008
768	3342	1004
769	3346	999
770	3350	995
771	3354	990
772	3358	986
773	3362	981
774	3366	977
775	3370	972
776	3374	968
777	3377	963
778	3381	959
779	3386	955
780	3390	950
781	3393	946
782	3397	941
783	3401	937
784	3405	932
785	3408	928
786	3412	923
787	3416	919
788	3420	914
789	3424	910
790	3429	906
791	3434	901
792	3438	897
793	3442	893
794	3446	888
795	3451	884
796	3454	879
797	3458	875
798	3462	871
799	3466	866
800	3470	862
801	3474	857
802	3479	853
